Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT],IO [mg CO2/g COT]
936,2.61,8.79,2.8,2.47,353,107.27969,94.63602
1224,2.75,2.93,2.95,3.72,431,107.27274,135.27274
1350,1.91,2.13,2.86,2.24,428,149.73822,117.27749
1359,2.03,1.09,2.63,2.32,431,129.55666,114.28571
1374,2.37,1.44,2.63,2.51,432,110.97047,105.90718
1386,2.21,2.16,2.74,2.24,425,123.9819,101.35746
1413,2.38,5.75,2.65,2.31,429,111.34454,97.05882
1431,2.16,5.02,2.86,2.11,432,132.40741,97.68517
1545,2.74,0.71,2.63,2.77,429,95.9854,101.09489
1599,3.38,0.53,3.18,3.34,433,94.08284,98.81656
1647,2.36,2.25,2.79,2.52,428,118.22034,106.77967
1656,2.16,2.4,2.68,2.96,430,124.07408,137.03703
1674,2.56,3.72,2.97,2.74,426,116.01563,107.03125
1728,2.81,3.79,4.07,2.77,428,144.83987,98.57652
1737,2.73,2.62,3.42,2.23,428,125.27473,81.68498
1755,2.96,3.19,3.45,2.28,430,116.55405,77.02702
1764,2.43,2.92,2.93,2.11,427,120.57613,86.83127
1842,2.43,4.02,3.46,2.37,428,142.38683,97.53086
1851,3.11,11.66,4.86,3.22,438,156.27011,103.53699
1869,2.68,1.58,3.94,2.52,431,147.01492,94.02985
1875,3.42,0.72,4.21,2.26,433,123.09941,66.08187
1878,3.31,1.09,4.21,2.37,436,127.19034,71.6012
1890,2.66,0.43,2.89,1.99,434,108.64662,74.81203
1905,1.1,0.83,3.48,2.01,432,316.36362,182.72726
1920,2.56,0.44,2.82,2.66,434,110.15625,103.90625
1923,2.57,6.6,3.67,2.2,437,142.80156,85.60312
1932,4.76,30.53,4.49,3.37,439,94.32772,70.79832
1941,3.61,10.04,5.26,2.58,442,145.70638,71.46815
1959,1.94,1.18,3.54,2.38,439,182.47421,122.68041
1977,3.17,1.96,4.8,2.12,444,151.41956,66.87697
1980,2.94,0.63,3.48,2.13,435,118.36735,72.44898
1986,2.93,0.72,4.09,1.7,439,139.59044,58.02048
2004,2.57,1.04,3.42,2.16,439,133.07394,84.0467
2013,4.15,19,5.14,2.74,441,123.85542,66.02409
2040,2.65,0.39,2.85,1.79,440,107.54716,67.54716
2049,2.36,4.26,3.8,2.78,436,161.01695,117.79662
2067,2.45,4.04,4.18,2.64,437,170.61224,107.7551
2070,2.25,0.63,2.75,1.44,436,122.22222,64.00001
2076,2.08,0.5,2.7,2.2,441,129.80769,105.76924
2085,2.53,0.92,4.21,2.75,433,166.40317,108.69565
2094,2.69,2.38,4.45,2.72,437,165.42749,101.11524
2100,3.37,1.19,3.5,2.73,435,103.85757,81.0089
2103,2.55,4.59,4.28,2.7,436,167.84315,105.88235
2112,1.51,2.16,2.68,2.56,429,177.48344,169.53642
2145,2.9,0.71,3.08,1.46,433,106.20689,50.34483
2148,2.35,0.46,3.17,2.42,434,134.89362,102.97873
2175,1.75,0.43,2.92,1.94,435,166.85715,110.85714
2193,2.27,0.52,3.55,2.62,433,156.38766,115.4185
2205,2.5,0.89,2.88,2.14,433,115.2,85.60001
2235,2.96,0.52,2.93,2.44,431,98.98649,82.43243
2238,3.28,4.8,6.85,3.32,420,208.84146,101.21951
2277,2.33,0.93,5.75,3.22,422,246.78113,138.19743
2313,1.7,0.98,2.85,3.44,430,167.64705,202.35294
2376,1.36,0.93,2.53,2.52,432,186.0294,185.29411
2529,2.18,0.88,4.09,1.7,439,187.61469,77.98165
2535,3.62,0.67,4.67,1.24,434,129.00552,34.25415
2565,1.11,0.28,2.55,1.25,438,229.72972,112.61262
2574,1.19,0.44,2.68,1.89,441,225.21007,158.82353
2592,2.16,0.72,4.21,2,444,194.90741,92.59259
2595,3.02,0.34,2.97,1.86,438,98.34438,61.5894
2601,3.18,0.83,6.16,1.63,443,193.71068,51.25786
2610,1.76,0.48,3.12,1.22,437,177.27272,69.31818
2619,1.82,0.5,3.43,1.89,440,188.46155,103.84615
2625,3,0.43,3.11,1.25,436,103.66666,41.66666
2637,2.23,0.78,4.55,1.77,440,204.03587,79.3722
2640,1.51,0.41,2.73,1.27,439,180.79471,84.10596
2670,2.65,0.58,3.14,1.53,436,118.49056,57.73585
2673,2.38,0.69,3.9,1.71,435,163.86554,71.84874
2685,2.7,0.35,2.86,1.21,437,105.92592,44.81482
2700,2.01,0.48,3.52,1.93,437,175.12439,96.0199
2709,1.72,0.36,2.81,1.88,436,163.37209,109.30231
2715,2.72,0.5,3.28,1.26,437,120.58823,46.32353
2727,1.63,0.29,2.53,1.95,439,155.21472,119.63191
2730,3.17,0.44,3.41,1.7,440,107.57098,53.62776
2736,2.44,0.47,3.92,1.81,438,160.65573,74.18032
2754,1.58,0.35,2.52,1.78,437,159.49367,112.65823
2775,3.2,0.48,2.51,1.45,439,78.4375,45.3125
2781,1.9,0.44,2.52,1.85,439,132.63158,97.36842
